,S&P 500,Equal,Dynamic
Date,2010-06-24 ~ 2025-06-19,2010-06-24 ~ 2025-06-19,2010-06-24 ~ 2025-06-19
count,58,58,58
cumulative return,411.4346170776508,1167.4755164764256,12100.648751718085
annualized return mean,0.11913396698920287,0.19141975955921042,0.3927991001888691
annualized return std,0.11291982955052937,0.325402897334125,0.8032633269331881
annualized return downside std,0.06333217070654973,0.264464712464932,0.25386511137425094
sharpe ratio,1.0550314100137106,0.5882546256576808,0.4890041497208055
sortino ratio,1.8810971684708446,0.7238007588047978,1.5472748423858844
gross profit,2.325747909855353,4.196492385088324,7.6422888368454265
gross loss,-0.6936983444723285,-1.6568801521870498,-2.8382146171556473
profit factor,3.3526790547906904,2.532767611193263,2.6926395173400395
maximum drawdown,-0.10274742792717255,-0.382952955231455,-0.4418772656996922
calmar ratio,1.1594836911503528,0.49985189288725346,0.8889325853116473
profitable years,14,12,12
unprofitable years,2,4,4
t-statistic,0.0,1.598288436165669,2.569367196981951
p_value,1.0,0.11274690066972355,0.011478962024683724
